year,section,section_label,colour,exports_rm_bil,imports_rm_bil
2010,5,Chemicals,#8CD17D,40.618,47.86
2010,6,Manufactured Goods,#B6992D,56.391,65.553
2010,7,Machinery & Transport Equipment,#E15759,280.416,261.591
2010,8,Misc. Manufactured Articles,#FF9D9A,61.407,32.075
2010,9,Other Commodities,#79706E,3.781,9.797
2011,0,Food & Live Animals,#4E79A7,20.555,34.493
2011,1,Beverages & Tobacco,#A0CBE8,3.136,3.097
2011,2,Crude Materials,#F28E2B,25.026,24.759
2011,3,Mineral Fuels & Petroleum,#FFBE7D,125.752,67.635
2011,4,Animal & Vegetable Oils,#59A14F,73.119,11.514
2011,5,Chemicals,#8CD17D,46.211,53.902
2011,6,Manufactured Goods,#B6992D,65.4,75.039
2011,7,Machinery & Transport Equipment,#E15759,269.763,255.28
2011,8,Misc. Manufactured Articles,#FF9D9A,64.707,36.012
2011,9,Other Commodities,#79706E,4.193,11.897
2012,0,Food & Live Animals,#4E79A7,20.692,36.091
2012,1,Beverages & Tobacco,#A0CBE8,3.726,3.78
2012,2,Crude Materials,#F28E2B,20.61,24.887
2012,3,Mineral Fuels & Petroleum,#FFBE7D,143.388,86.047
2012,4,Animal & Vegetable Oils,#59A14F,63.394,9.749
2012,5,Chemicals,#8CD17D,46.102,54.547
2012,6,Manufactured Goods,#B6992D,63.624,75.196
2012,7,Machinery & Transport Equipment,#E15759,266.685,266.47
2012,8,Misc. Manufactured Articles,#FF9D9A,68.704,37.414
2012,9,Other Commodities,#79706E,5.717,12.496
2013,0,Food & Live Animals,#4E79A7,22.101,38.857
2013,1,Beverages & Tobacco,#A0CBE8,3.884,4.069
2013,2,Crude Materials,#F28E2B,19.492,23.888
2013,3,Mineral Fuels & Petroleum,#FFBE7D,160.348,105.022
2013,4,Animal & Vegetable Oils,#59A14F,49.019,4.117
2013,5,Chemicals,#8CD17D,51.761,59.416
2013,6,Manufactured Goods,#B6992D,67.7,85.374
2013,7,Machinery & Transport Equipment,#E15759,273.676,276.278
2013,8,Misc. Manufactured Articles,#FF9D9A,67.319,37.086
2013,9,Other Commodities,#79706E,4.693,14.587
2014,0,Food & Live Animals,#4E79A7,25.647,42.643
2014,1,Beverages & Tobacco,#A0CBE8,4.079,4.049
