partner,arc_id,step,lon,lat,trade_type,stroke_width,exports_usd_bn,imports_usd_bn,balance_usd_bn
China,China,10,108.5733,11.7072,Import-heavy,8.78,42.15,56.71,-14.56
China,China,11,108.4857,12.4081,Import-heavy,8.78,42.15,56.71,-14.56
China,China,12,108.398,13.1,Import-heavy,8.78,42.15,56.71,-14.56
China,China,13,108.3103,13.7831,Import-heavy,8.78,42.15,56.71,-14.56
China,China,14,108.2227,14.4572,Import-heavy,8.78,42.15,56.71,-14.56
China,China,15,108.135,15.1225,Import-heavy,8.78,42.15,56.71,-14.56
China,China,16,108.0473,15.7789,Import-heavy,8.78,42.15,56.71,-14.56
China,China,17,107.9597,16.4264,Import-heavy,8.78,42.15,56.71,-14.56
China,China,18,107.872,17.065,Import-heavy,8.78,42.15,56.71,-14.56
China,China,19,107.7843,17.6947,Import-heavy,8.78,42.15,56.71,-14.56
China,China,20,107.6967,18.3156,Import-heavy,8.78,42.15,56.71,-14.56
China,China,21,107.609,18.9275,Import-heavy,8.78,42.15,56.71,-14.56
China,China,22,107.5213,19.5306,Import-heavy,8.78,42.15,56.71,-14.56
China,China,23,107.4337,20.1247,Import-heavy,8.78,42.15,56.71,-14.56
China,China,24,107.346,20.71,Import-heavy,8.78,42.15,56.71,-14.56
China,China,25,107.2583,21.2864,Import-heavy,8.78,42.15,56.71,-14.56
China,China,26,107.1707,21.8539,Import-heavy,8.78,42.15,56.71,-14.56
China,China,27,107.083,22.4125,Import-heavy,8.78,42.15,56.71,-14.56
China,China,28,106.9953,22.9622,Import-heavy,8.78,42.15,56.71,-14.56
China,China,29,106.9077,23.5031,Import-heavy,8.78,42.15,56.71,-14.56
China,China,30,106.82,24.035,Import-heavy,8.78,42.15,56.71,-14.56
China,China,31,106.7323,24.5581,Import-heavy,8.78,42.15,56.71,-14.56
China,China,32,106.6447,25.0722,Import-heavy,8.78,42.15,56.71,-14.56
China,China,33,106.557,25.5775,Import-heavy,8.78,42.15,56.71,-14.56
China,China,34,106.4693,26.0739,Import-heavy,8.78,42.15,56.71,-14.56
China,China,35,106.3817,26.5614,Import-heavy,8.78,42.15,56.71,-14.56
China,China,36,106.294,27.04,Import-heavy,8.78,42.15,56.71,-14.56
China,China,37,106.2063,27.5097,Import-heavy,8.78,42.15,56.71,-14.56
China,China,38,106.1187,27.9706,Import-heavy,8.78,42.15,56.71,-14.56
China,China,39,106.031,28.4225,Import-heavy,8.78,42.15,56.71,-14.56
China,China,40,105.9433,28.8656,Import-heavy,8.78,42.15,56.71,-14.56
China,China,41,105.8557,29.2997,Import-heavy,8.78,42.15,56.71,-14.56
China,China,42,105.768,29.725,Import-heavy,8.78,42.15,56.71,-14.56
China,China,43,105.6803,30.1414,Import-heavy,8.78,42.15,56.71,-14.56
China,China,44,105.5927,30.5489,Import-heavy,8.78,42.15,56.71,-14.56
China,China,45,105.505,30.9475,Import-heavy,8.78,42.15,56.71,-14.56
China,China,46,105.4173,31.3372,Import-heavy,8.78,42.15,56.71,-14.56
China,China,47,105.3297,31.7181,Import-heavy,8.78,42.15,56.71,-14.56
China,China,48,105.242,32.09,Import-heavy,8.78,42.15,56.71,-14.56
China,China,49,105.1543,32.4531,Import-heavy,8.78,42.15,56.71,-14.56
China,China,50,105.0667,32.8072,Import-heavy,8.78,42.15,56.71,-14.56
China,China,51,104.979,33.1525,Import-heavy,8.78,42.15,56.71,-14.56
China,China,52,104.8913,33.4889,Import-heavy,8.78,42.15,56.71,-14.56
China,China,53,104.8037,33.8164,Import-heavy,8.78,42.15,56.71,-14.56
China,China,54,104.716,34.135,Import-heavy,8.78,42.15,56.71,-14.56
China,China,55,104.6283,34.4447,Import-heavy,8.78,42.15,56.71,-14.56
China,China,56,104.5407,34.7456,Import-heavy,8.78,42.15,56.71,-14.56
China,China,57,104.453,35.0375,Import-heavy,8.78,42.15,56.71,-14.56
China,China,58,104.3653,35.3206,Import-heavy,8.78,42.15,56.71,-14.56
China,China,59,104.2777,35.5947,Import-heavy,8.78,42.15,56.71,-14.56
China,China,60,104.19,35.86,Import-heavy,8.78,42.15,56.71,-14.56
United States,United States,0,109.45,4.21,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,1,106.0307,5.7413,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,2,102.6113,7.2393,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,3,99.192,8.704,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,4,95.7727,10.1353,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,5,92.3533,11.5333,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,6,88.934,12.898,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,7,85.5147,14.2293,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,8,82.0953,15.5273,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,9,78.676,16.792,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,10,75.2567,18.0233,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,11,71.8373,19.2213,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,12,68.418,20.386,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,13,64.9987,21.5173,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,14,61.5793,22.6153,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,15,58.16,23.68,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,16,54.7407,24.7113,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,17,51.3213,25.7093,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,18,47.902,26.674,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,19,44.4827,27.6053,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,20,41.0633,28.5033,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,21,37.644,29.368,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,22,34.2247,30.1993,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,23,30.8053,30.9973,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,24,27.386,31.762,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,25,23.9667,32.4933,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,26,20.5473,33.1913,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,27,17.128,33.856,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,28,13.7087,34.4873,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,29,10.2893,35.0853,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,30,6.87,35.65,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,31,3.4507,36.1813,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,32,0.0313,36.6793,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,33,-3.388,37.144,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,34,-6.8073,37.5753,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,35,-10.2267,37.9733,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,36,-13.646,38.338,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,37,-17.0653,38.6693,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,38,-20.4847,38.9673,Export-heavy,7.41,35.46,19.53,15.93
United States,United States,39,-23.904,39.232,Export-heavy,7.41,35.46,19.53,15.93
