country,code,year,trade_pct_gdp,gdp_per_capita,highlight,gdp_sqrt
Guinea,GIN,2022,94.165276,3792.0107,False,61.58
Guatemala,GTM,2022,54.431038,12147.931,False,110.22
Greenland,GRL,2022,93.365135,70681.23,False,265.86
Greece,GRC,2022,108.12184,35831.344,False,189.29
Ghana,GHA,2022,70.115456,6728.454,False,82.03
Germany,DEU,2022,88.78575,63676.086,False,252.34
Georgia,GEO,2022,114.695435,20966.527,False,144.8
Gambia,GMB,2022,44.72192,2863.1804,False,53.51
Gabon,GAB,2022,92.06309,18662.049,False,136.61
France,FRA,2022,75.963005,53673.812,False,231.68
Finland,FIN,2022,94.56253,57068.305,False,238.89
Faroe Islands,FRO,2022,122.86334,70256.72,False,265.06
Ethiopia,ETH,2022,26.595499,2655.5928,False,51.53
Eswatini,SWZ,2022,92.57159,9927.605,False,99.64
Estonia,EST,2022,175.68712,43128.633,False,207.67
Antigua and Barbuda,ATG,2022,117.70353,27941.785,False,167.16
Angola,AGO,2022,55.254772,8950.143,False,94.61
Equatorial Guinea,GNQ,2022,81.81302,16932.771,False,130.13
El Salvador,SLV,2022,88.70111,11085.618,False,105.29
Egypt,EGY,2022,36.983105,16360.391,False,127.91
Ecuador,ECU,2022,61.880795,14186.639,False,119.11
East Timor,TLS,2022,97.62111,5348.492,False,73.13
Dominican Republic,DOM,2022,54.378197,22986.959,False,151.61
Djibouti,DJI,2022,302.2854,6180.68,False,78.62
Denmark,DNK,2022,131.99582,69475.32,False,263.58
Democratic Republic of Congo,COD,2022,85.82217,1484.3384,False,38.53
Czechia,CZE,2022,144.01149,48390.66,False,219.98
Cyprus,CYP,2022,205.75354,50623.797,False,225.0
Croatia,HRV,2022,125.41088,39864.01,False,199.66
Cote d'Ivoire,CIV,2022,52.86639,6272.264,False,79.2
Costa Rica,CRI,2022,82.22753,24831.719,False,157.58
Congo,COG,2022,98.16134,6205.105,False,78.77
Comoros,COM,2022,50.38877,3399.2783,False,58.3
Colombia,COL,2022,48.282654,18458.72,False,135.86
China,CHN,2022,37.44072,21499.383,False,146.63
Chile,CHL,2022,75.201614,29569.479,False,171.96
Chad,TCD,2022,47.988377,2449.4824,False,49.49
Central African Republic,CAF,2022,45.23357,1136.8018,False,33.72
Cape Verde,CPV,2022,96.99414,8850.106,False,94.08
Canada,CAN,2022,67.31762,58321.062,False,241.5
Cameroon,CMR,2022,41.286602,4843.6504,False,69.6
Cambodia,KHM,2022,145.87363,6458.368,False,80.36
Burkina Faso,BFA,2022,67.52029,2469.1995,False,49.69
Bulgaria,BGR,2022,138.84488,32433.793,False,180.09
Brunei,BRN,2022,146.97397,76357.83,False,276.33
Brazil,BRA,2022,38.816067,18554.047,False,136.21
Botswana,BWA,2022,85.61171,18647.373,False,136.56
Bosnia and Herzegovina,BIH,2022,110.205284,19298.197,False,138.92
Bolivia,BOL,2022,57.524933,11487.715,False,107.18
Bhutan,BTN,2022,85.57121,14061.3125,False,118.58
Bermuda,BMU,2022,75.19723,98145.17,False,313.28
Benin,BEN,2022,44.38159,3588.3252,False,59.9
Belize,BLZ,2022,107.84025,12565.364,False,112.1
Belgium,BEL,2022,191.17903,62561.78,False,250.12
Belarus,BLR,2022,120.02421,26537.508,False,162.9
Bangladesh,BGD,2022,33.77997,7888.164,False,88.82
Bahrain,BHR,2022,167.14124,57572.996,False,239.94
Bahamas,BHS,2022,75.98296,34342.93,False,185.32
Azerbaijan,AZE,2022,86.98228,21051.244,False,145.09
Austria,AUT,2022,123.57958,65694.555,False,256.31
Australia,AUS,2022,45.69464,60029.133,False,245.01
Aruba,ABW,2022,160.63455,38979.836,False,197.43
Armenia,ARM,2022,103.87863,17886.178,False,133.74
Argentina,ARG,2022,31.58018,27825.027,False,166.81
Afghanistan,AFG,2022,72.88547,1981.7102,False,44.52
Cayman Islands,CYM,2020,105.47279,76818.8,False,277.16
Curacao,CUW,2018,155.26886,26734.646,False,163.51
Laos,LAO,2016,75.09189,8183.0327,False,90.46
Suriname,SUR,2010,90.961395,18742.588,False,136.9
Guyana,GUY,2005,194.35075,37068.2,False,192.53
Papua New Guinea,PNG,2004,131.08292,4125.493,False,64.23
Nigeria,NGA,1960,26.166513,7752.262,False,88.05
