year,section,section_label,exports_rm_bil,imports_rm_bil
2011,7,Machinery & Transport Equipment,269.763,255.28
2011,8,Misc. Manufactured Articles,64.707,36.012
2011,9,Other Commodities,4.193,11.897
2012,0,Food & Live Animals,20.692,36.091
2012,1,Beverages & Tobacco,3.726,3.78
2012,2,Crude Materials,20.61,24.887
2012,3,Mineral Fuels & Petroleum,143.388,86.047
2012,4,Animal & Vegetable Oils,63.394,9.749
2012,5,Chemicals,46.102,54.547
2012,6,Manufactured Goods,63.624,75.196
2012,7,Machinery & Transport Equipment,266.685,266.47
2012,8,Misc. Manufactured Articles,68.704,37.414
2012,9,Other Commodities,5.717,12.496
2013,0,Food & Live Animals,22.101,38.857
2013,1,Beverages & Tobacco,3.884,4.069
2013,2,Crude Materials,19.492,23.888
2013,3,Mineral Fuels & Petroleum,160.348,105.022
2013,4,Animal & Vegetable Oils,49.019,4.117
2013,5,Chemicals,51.761,59.416
2013,6,Manufactured Goods,67.7,85.374
2013,7,Machinery & Transport Equipment,273.676,276.278
2013,8,Misc. Manufactured Articles,67.319,37.086
2013,9,Other Commodities,4.693,14.587
2014,0,Food & Live Animals,25.647,42.643
2014,1,Beverages & Tobacco,4.079,4.049
2014,2,Crude Materials,17.164,21.992
2014,3,Mineral Fuels & Petroleum,168.624,114.876
2014,4,Animal & Vegetable Oils,50.491,4.521
2014,5,Chemicals,56.575,65.993
2014,6,Manufactured Goods,67.819,87.419
2014,7,Machinery & Transport Equipment,296.735,285.548
2014,8,Misc. Manufactured Articles,73.717,41.774
2014,9,Other Commodities,4.566,14.123
2015,0,Food & Live Animals,27.37,45.343
2015,1,Beverages & Tobacco,4.606,4.548
2015,2,Crude Materials,21.21,22.488
2015,3,Mineral Fuels & Petroleum,125.876,85.148
2015,4,Animal & Vegetable Oils,47.863,6.971
2015,5,Chemicals,60.674,69.736
2015,6,Manufactured Goods,75.145,89.629
2015,7,Machinery & Transport Equipment,326.095,297.067
2015,8,Misc. Manufactured Articles,84.485,50.447
2015,9,Other Commodities,4.031,14.401
2016,0,Food & Live Animals,30.218,46.766
2016,1,Beverages & Tobacco,4.906,4.534
2016,2,Crude Materials,22.514,24.882
2016,3,Mineral Fuels & Petroleum,111.163,72.184
2016,4,Animal & Vegetable Oils,50.637,5.469
2016,5,Chemicals,64.669,73.571
2016,6,Manufactured Goods,70.015,87.922
2016,7,Machinery & Transport Equipment,338.785,316.348
2016,8,Misc. Manufactured Articles,89.029,54.559
2016,9,Other Commodities,5.028,12.585
2017,0,Food & Live Animals,31.842,51.288
2017,1,Beverages & Tobacco,4.422,3.686
2017,2,Crude Materials,28.566,33.687
2017,3,Mineral Fuels & Petroleum,144.013,106.808
2017,4,Animal & Vegetable Oils,56.398,6.773
2017,5,Chemicals,75.088,86.217
2017,6,Manufactured Goods,82.821,98.037
2017,7,Machinery & Transport Equipment,398.809,372.858
2017,8,Misc. Manufactured Articles,104.646,59.906
2017,9,Other Commodities,8.322,17.163
2018,0,Food & Live Animals,31.575,50.173
2018,1,Beverages & Tobacco,3.571,3.818
2018,2,Crude Materials,25.526,36.59
2018,3,Mineral Fuels & Petroleum,157.269,126.5
2018,4,Animal & Vegetable Oils,47.064,6.656
2018,5,Chemicals,84.859,95.378
2018,6,Manufactured Goods,92.699,103.045
2018,7,Machinery & Transport Equipment,440.245,381.572
2018,8,Misc. Manufactured Articles,112.084,59.775
2018,9,Other Commodities,8.694,16.297
2019,0,Food & Live Animals,34.094,51.463
2019,1,Beverages & Tobacco,3.453,3.727
2019,2,Crude Materials,27.038,41.778
2019,3,Mineral Fuels & Petroleum,143.681,123.544
2019,4,Animal & Vegetable Oils,46.796,6.565
2019,5,Chemicals,84.957,93.238
2019,6,Manufactured Goods,95.841,99.008
2019,7,Machinery & Transport Equipment,433.86,355.963
2019,8,Misc. Manufactured Articles,119.268,59.331
2019,9,Other Commodities,6.084,14.795
2020,0,Food & Live Animals,33.78,55.475
2020,1,Beverages & Tobacco,2.595,2.627
2020,2,Crude Materials,24.751,41.112
2020,3,Mineral Fuels & Petroleum,112.015,95.149
2020,4,Animal & Vegetable Oils,54.98,8.914
2020,5,Chemicals,74.96,85.58
2020,6,Manufactured Goods,88.473,91.045
2020,7,Machinery & Transport Equipment,444.198,349.648
2020,8,Misc. Manufactured Articles,144.65,55.889
2020,9,Other Commodities,3.425,15.042
2021,0,Food & Live Animals,38.695,63.651
2021,1,Beverages & Tobacco,2.498,2.63
2021,2,Crude Materials,28.92,58.733
2021,3,Mineral Fuels & Petroleum,154.806,123.645
2021,4,Animal & Vegetable Oils,79.147,14.562
2021,5,Chemicals,107.516,111.681
2021,6,Manufactured Goods,127.469,106.424
2021,7,Machinery & Transport Equipment,521.789,416.772
2021,8,Misc. Manufactured Articles,176.055,65.281
2021,9,Other Commodities,4.128,23.964
2022,0,Food & Live Animals,44.61,75.621
2022,1,Beverages & Tobacco,2.757,3.645
2022,2,Crude Materials,31.263,53.209
2022,3,Mineral Fuels & Petroleum,264.758,241.668
2022,4,Animal & Vegetable Oils,100.658,18.248
2022,5,Chemicals,125.677,134.305
2022,6,Manufactured Goods,138.746,126.843
2022,7,Machinery & Transport Equipment,672.352,533.778
2022,8,Misc. Manufactured Articles,162.735,82.796
2022,9,Other Commodities,6.453,23.699
2023,0,Food & Live Animals,46.462,78.787
2023,1,Beverages & Tobacco,3.105,3.616
2023,2,Crude Materials,29.662,43.711
2023,3,Mineral Fuels & Petroleum,236.034,231.552
2023,4,Animal & Vegetable Oils,74.888,11.226
2023,5,Chemicals,106.155,120.956
2023,6,Manufactured Goods,127.578,125.495
2023,7,Machinery & Transport Equipment,650.206,500.555
2023,8,Misc. Manufactured Articles,143.781,78.336
2023,9,Other Commodities,8.327,16.811
